id,loan_amnt,term,int_rate,grade,annual_inc,loan_status,purpose,dti,pub_rec,revol_util
1,5000, 36 months,10.65,B,24000,0,credit_card,27.65,0,83.7
2,2500, 60 months,15.27,C,30000,1,car,1,0,9.4
3,2400, 36 months,15.96,C,12252,0,small_business,8.72,0,98.5
4,10000, 36 months,13.49,C,49200,0,other,20,0,21
5,5000, 36 months,7.9,A,36000,0,wedding,11.2,0,28.3
6,7000, 60 months,15.96,C,47004,0,debt_consolidation,23.51,0,85.6
7,3000, 36 months,18.64,E,48000,0,car,5.35,0,87.5
8,5600, 60 months,21.28,F,40000,1,small_business,5.55,0,32.6
9,5375, 60 months,12.69,B,15000,1,other,18.08,0,36.5
10,6500, 60 months,14.65,C,72000,0,debt_consolidation,16.12,0,20.6
11,12000, 36 months,12.69,B,75000,0,debt_consolidation,10.78,0,67.1
12,9000, 36 months,13.49,C,30000,1,debt_consolidation,10.08,0,91.7
13,3000, 36 months,9.91,B,15000,0,credit_card,12.56,0,43.1
14,10000, 36 months,10.65,B,100000,1,other,7.06,0,55.5
15,1000, 36 months,16.29,D,28000,0,debt_consolidation,20.31,0,81.5
16,10000, 36 months,15.27,C,42000,0,home_improvement,18.6,0,70.2
17,3600, 36 months,6.03,A,110000,0,major_purchase,10.52,0,16
18,6000, 36 months,11.71,B,84000,0,medical,18.44,0,37.73
19,9200, 36 months,6.03,A,77385.19,0,debt_consolidation,9.86,0,23.1
20,20250, 60 months,15.27,C,43370,0,debt_consolidation,26.53,0,85.6
21,21000, 36 months,12.42,B,105000,1,debt_consolidation,13.22,0,90.3
22,10000, 36 months,11.71,B,50000,0,credit_card,11.18,0,82.4
23,10000, 36 months,11.71,B,50000,0,debt_consolidation,16.01,0,91.8
24,6000, 36 months,11.71,B,76000,1,major_purchase,2.4,0,29.7
25,15000, 36 months,9.91,B,92000,0,credit_card,29.44,0,93.9
26,15000, 36 months,14.27,C,60000,1,debt_consolidation,15.22,0,57.6
27,5000, 60 months,16.77,D,50004,1,other,13.97,0,59.5
28,4000, 36 months,11.71,B,106000,0,debt_consolidation,5.63,0,37.7
29,8500, 36 months,11.71,B,25000,0,credit_card,12.19,0,59.1
30,4375, 36 months,7.51,A,17108,0,debt_consolidation,20.34,0,86.9
31,5000, 36 months,8.9,A,24044,0,debt_consolidation,11.93,0,29.3
32,7000, 36 months,15.96,C,34000,0,credit_card,6.35,0,60.5
33,12400, 36 months,10.65,B,41000,0,credit_card,11.8,0,57.2
34,10800, 36 months,9.91,B,55596,0,moving,5.5,0,13.3
35,15000, 36 months,7.9,A,45000,0,debt_consolidation,8.48,0,50.4
36,6000, 36 months,12.42,B,36852,0,debt_consolidation,10.62,0,66.5
37,9600, 36 months,7.51,A,68004,0,other,6.63,0,18.1
38,12000, 36 months,7.9,A,62300,0,debt_consolidation,16.7,0,21
39,3000, 36 months,18.25,D,65000,0,other,17.39,0,98.1
40,4400, 36 months,16.77,D,55000,0,debt_consolidation,20.01,0,99
41,6000, 36 months,6.03,A,45600,0,debt_consolidation,5.34,0,32.5
42,14000, 36 months,9.91,B,80000,0,small_business,10,0,13.4
43,5000, 36 months,8.9,A,100000,1,debt_consolidation,16.33,0,62.1
44,10000, 36 months,10.65,B,27000,0,other,11.47,0,52.3
45,10000, 36 months,6.03,A,60000,0,credit_card,12.74,0,19.5
46,11000, 36 months,6.62,A,70000,0,debt_consolidation,10.85,0,36.4
47,15000, 36 months,9.91,B,80000,1,debt_consolidation,9.12,0,63.7
48,25600, 36 months,9.91,B,110000,0,credit_card,15.71,0,62
49,7000, 36 months,10.65,B,40000,0,debt_consolidation,7.38,0,92.9
50,12000, 36 months,15.96,C,50000,1,car,20.88,0,90.8
51,12000, 36 months,9.91,B,46000,0,credit_card,8.11,0,52.1
52,21000, 60 months,19.91,E,50000,1,debt_consolidation,21.58,0,97.6
53,16000, 60 months,19.91,E,81000,0,credit_card,20.52,0,75.1
54,10000, 36 months,12.42,B,39000,0,debt_consolidation,18.58,0,72.7
55,10000, 36 months,10.65,B,51400,0,credit_card,19.14,0,59.1
56,7100, 36 months,16.77,D,33000,0,debt_consolidation,24,0,91.2
57,13000, 60 months,12.69,B,30000,0,debt_consolidation,13.72,0,58.9
58,17500, 60 months,17.27,D,40000,0,small_business,19.47,0,58.9
59,17675, 60 months,14.65,C,50000,0,debt_consolidation,16.46,0,57.4
60,8000, 36 months,16.77,D,62000,0,debt_consolidation,21.64,0,66.9
61,10000, 60 months,10.65,B,45996,1,debt_consolidation,21.73,0,30.1
62,3500, 36 months,10.65,B,55000,0,debt_consolidation,5.39,0,45.9
63,12500, 60 months,17.27,D,30000,1,debt_consolidation,13.16,1,70.8
64,16425, 36 months,14.27,C,44544,0,debt_consolidation,22.71,0,83.4
65,8200, 60 months,21.28,F,75000,1,small_business,12.48,0,73.9
66,15000, 36 months,14.65,C,61000,0,credit_card,11.88,0,79.5
67,20975, 60 months,17.58,D,44000,0,credit_card,18.79,1,79.4
68,6400, 36 months,16.77,D,75000,1,debt_consolidation,20.22,0,67.5
69,3000, 36 months,13.49,C,33600,0,debt_consolidation,18.11,0,83.2
70,12000, 36 months,16.77,D,50000,0,credit_card,20.57,0,97
71,12000, 36 months,14.65,C,90000,0,debt_consolidation,16.56,0,78.5
72,11000, 36 months,13.49,C,48000,0,debt_consolidation,21.82,0,65
73,7250, 60 months,21.67,F,75000,0,debt_consolidation,24.82,1,91.2
74,15000, 36 months,7.9,A,52000,0,small_business,9.65,0,6.7
75,18000, 60 months,19.91,E,65000,0,debt_consolidation,6.81,0,77.8
76,10000, 36 months,14.27,C,68000,0,credit_card,15.39,0,81.3
77,11800, 36 months,12.69,B,42000,0,credit_card,9.86,0,74.8
78,4500, 36 months,6.03,A,53000,0,major_purchase,4.44,0,13.9
79,7000, 36 months,12.69,B,35000,0,credit_card,11.35,0,82.3
80,9200, 36 months,12.42,B,60000,0,debt_consolidation,19.96,0,78.7
81,4500, 60 months,10.65,B,42000,0,car,5.4,0,78.3
82,12000, 36 months,16.29,D,88365,0,debt_consolidation,16.85,0,96.4
83,12000, 36 months,13.49,C,72000,0,debt_consolidation,21.33,0,27.6
84,12000, 36 months,10.65,B,62000,0,credit_card,23.94,0,78.4
85,7000, 36 months,10.65,B,43680,0,credit_card,5.38,0,78.1
86,8200, 60 months,19.42,E,120000,0,debt_consolidation,2.8,0,88.4
87,10500, 36 months,12.69,B,66000,0,medical,20.73,0,51.2
88,7000, 36 months,11.71,B,39120,0,debt_consolidation,21.01,1,52.4
89,20000, 60 months,11.71,B,47800,0,debt_consolidation,10.04,0,46.3
90,17500, 60 months,17.27,D,45000,1,credit_card,21.31,0,86.1
91,3500, 36 months,6.03,A,83000,0,car,2.31,0,13.4
92,6200, 36 months,9.91,B,25000,1,debt_consolidation,20.64,0,47.7
93,6000, 36 months,8.9,A,28800,0,debt_consolidation,13.17,0,36.8
94,7200, 36 months,9.91,B,135000,0,credit_card,6.12,0,79.6
95,9500, 36 months,8.9,A,50000,0,credit_card,8.18,0,60.5
96,18825, 60 months,16.77,D,38000,1,debt_consolidation,23.18,0,79.7
97,24000, 36 months,10.65,B,45000,0,debt_consolidation,14.8,0,55.2
98,6000, 36 months,13.49,C,80000,0,debt_consolidation,11.58,0,83.8
99,6000, 36 months,13.49,C,50000,0,debt_consolidation,15.38,0,91.5
100,2100, 36 months,12.42,B,30000,0,vacation,19.72,0,82.9
101,5500, 36 months,6.62,A,110000,0,small_business,9.69,0,21.9
102,11000, 36 months,6.62,A,45608,0,debt_consolidation,20.5,0,58.7
103,26800, 60 months,20.89,F,120000,0,debt_consolidation,12.15,0,48
104,8000, 36 months,12.69,B,35000,0,debt_consolidation,10.05,0,97.7
105,10000, 36 months,18.25,D,75000,1,credit_card,24.14,0,96.3
