loan_amnt,term,int_rate,grade,annual_inc,loan_status,purpose,dti,pub_rec,revol_util,annual_inc_range,loan_amnt_range,int_rate_range,revol_util_range,dti_range
5000, 36 months,10.65,B,24000,0,credit_card,27.65,0,83.7,0-25k,0-5k,10-12.5,80+,25%+
2500, 60 months,15.27,C,30000,1,car,1,0,9.4,25k-50k,0-5k,15+,0-20,0-5%
2400, 36 months,15.96,C,12252,0,small_business,8.72,0,98.5,0-25k,0-5k,15+,80+,5-10%
10000, 36 months,13.49,C,49200,0,other,20,0,21,25k-50k,5k-10k,12.5-15,20-40,15-20%
5000, 36 months,7.9,A,36000,0,wedding,11.2,0,28.3,25k-50k,0-5k,7.5-10,20-40,10-15%
7000, 60 months,15.96,C,47004,0,debt_consolidation,23.51,0,85.6,25k-50k,5k-10k,15+,80+,20-25%
3000, 36 months,18.64,E,48000,0,car,5.35,0,87.5,25k-50k,0-5k,15+,80+,5-10%
5600, 60 months,21.28,F,40000,1,small_business,5.55,0,32.6,25k-50k,5k-10k,15+,20-40,5-10%
5375, 60 months,12.69,B,15000,1,other,18.08,0,36.5,0-25k,5k-10k,12.5-15,20-40,15-20%
6500, 60 months,14.65,C,72000,0,debt_consolidation,16.12,0,20.6,50k-75k,5k-10k,12.5-15,20-40,15-20%
12000, 36 months,12.69,B,75000,0,debt_consolidation,10.78,0,67.1,50k-75k,10k-15k,12.5-15,60-80,10-15%
9000, 36 months,13.49,C,30000,1,debt_consolidation,10.08,0,91.7,25k-50k,5k-10k,12.5-15,80+,10-15%
3000, 36 months,9.91,B,15000,0,credit_card,12.56,0,43.1,0-25k,0-5k,7.5-10,40-60,10-15%
10000, 36 months,10.65,B,100000,1,other,7.06,0,55.5,75k-100k,5k-10k,10-12.5,40-60,5-10%
1000, 36 months,16.29,D,28000,0,debt_consolidation,20.31,0,81.5,25k-50k,0-5k,15+,80+,20-25%
10000, 36 months,15.27,C,42000,0,home_improvement,18.6,0,70.2,25k-50k,5k-10k,15+,60-80,15-20%
3600, 36 months,6.03,A,110000,0,major_purchase,10.52,0,16,100k+,0-5k,0-7.5,0-20,10-15%
6000, 36 months,11.71,B,84000,0,medical,18.44,0,37.73,75k-100k,5k-10k,10-12.5,20-40,15-20%
9200, 36 months,6.03,A,77385.19,0,debt_consolidation,9.86,0,23.1,75k-100k,5k-10k,0-7.5,20-40,5-10%
20250, 60 months,15.27,C,43370,0,debt_consolidation,26.53,0,85.6,25k-50k,20k-25k,15+,80+,25%+
21000, 36 months,12.42,B,105000,1,debt_consolidation,13.22,0,90.3,100k+,20k-25k,10-12.5,80+,10-15%
10000, 36 months,11.71,B,50000,0,credit_card,11.18,0,82.4,25k-50k,5k-10k,10-12.5,80+,10-15%
10000, 36 months,11.71,B,50000,0,debt_consolidation,16.01,0,91.8,25k-50k,5k-10k,10-12.5,80+,15-20%
6000, 36 months,11.71,B,76000,1,major_purchase,2.4,0,29.7,75k-100k,5k-10k,10-12.5,20-40,0-5%
15000, 36 months,9.91,B,92000,0,credit_card,29.44,0,93.9,75k-100k,10k-15k,7.5-10,80+,25%+
15000, 36 months,14.27,C,60000,1,debt_consolidation,15.22,0,57.6,50k-75k,10k-15k,12.5-15,40-60,15-20%
5000, 60 months,16.77,D,50004,1,other,13.97,0,59.5,50k-75k,0-5k,15+,40-60,10-15%
4000, 36 months,11.71,B,106000,0,debt_consolidation,5.63,0,37.7,100k+,0-5k,10-12.5,20-40,5-10%
8500, 36 months,11.71,B,25000,0,credit_card,12.19,0,59.1,0-25k,5k-10k,10-12.5,40-60,10-15%
4375, 36 months,7.51,A,17108,0,debt_consolidation,20.34,0,86.9,0-25k,0-5k,7.5-10,80+,20-25%
5000, 36 months,8.9,A,24044,0,debt_consolidation,11.93,0,29.3,0-25k,0-5k,7.5-10,20-40,10-15%
7000, 36 months,15.96,C,34000,0,credit_card,6.35,0,60.5,25k-50k,5k-10k,15+,60-80,5-10%
12400, 36 months,10.65,B,41000,0,credit_card,11.8,0,57.2,25k-50k,10k-15k,10-12.5,40-60,10-15%
10800, 36 months,9.91,B,55596,0,moving,5.5,0,13.3,50k-75k,10k-15k,7.5-10,0-20,5-10%
15000, 36 months,7.9,A,45000,0,debt_consolidation,8.48,0,50.4,25k-50k,10k-15k,7.5-10,40-60,5-10%
6000, 36 months,12.42,B,36852,0,debt_consolidation,10.62,0,66.5,25k-50k,5k-10k,10-12.5,60-80,10-15%
9600, 36 months,7.51,A,68004,0,other,6.63,0,18.1,50k-75k,5k-10k,7.5-10,0-20,5-10%
12000, 36 months,7.9,A,62300,0,debt_consolidation,16.7,0,21,50k-75k,10k-15k,7.5-10,20-40,15-20%
3000, 36 months,18.25,D,65000,0,other,17.39,0,98.1,50k-75k,0-5k,15+,80+,15-20%
4400, 36 months,16.77,D,55000,0,debt_consolidation,20.01,0,99,50k-75k,0-5k,15+,80+,20-25%
6000, 36 months,6.03,A,45600,0,debt_consolidation,5.34,0,32.5,25k-50k,5k-10k,0-7.5,20-40,5-10%
